"","X.2","X.1","X","Student","Gender","IPEDS.Ethnicity","Low.Income","First.Generation","Admit.Type","Evaluated.High.School.GPA","Highlander.Scholarship","Chancellor.s.Scholarship","Regents..Scholarship","Previous.School","College","Major","UCR.Entry.Action","Admitted.Honors.Cohort","Permanent.City","Permanent.State","Capstone.Project.Completion","County","Region"
"946",946,946,946,946,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.6,"N","N","N","Bishop Amat Memorial Hs","HS","SOC","First Time Freshman","Second Year","Whittier","CA","N","Los Angeles","8"
"947",947,947,947,947,"M","HISPANIC OR LATINO","Y","Y","Freshman",4.2,"Y","N","N","Rialto High School","HS","PSYC","First Time Freshman","Second Year","Rialto","CA","N","San Bernardino","7"
"948",948,948,948,948,"F","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","hemet","CA","N","Other","Other"
"949",949,949,949,949,"M","ASIAN","N","Y","Freshman",4,"N","N","N",NA,NA,"NURO","First Time Freshman","First Year","Rancho Cucamonga","CA","N","San Bernardino","7"
"950",950,950,950,950,"F","HISPANIC OR LATINO","N","Y","Freshman",4,"N","N","N",NA,"HS","TFDP","First Time Freshman","First Year","Los Angeles","CA","N","Los Angeles","8"
"951",951,951,951,951,"F","HISPANIC OR LATINO","Y","N","Freshman",4.33,"N","Y","N",NA,"HS","ANTH","First Time Freshman","First Year","Perris","CA","Yes","Riverside","7"
"952",952,952,952,952,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.22,"N","N","N","Bell Gardens Senior Hs","HS","CRWT","First Time Freshman","Second Year","Los Angeles","CA","Yes","Los Angeles","8"
"953",953,953,953,953,"M","HISPANIC OR LATINO","Y","N","Freshman",3.9,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Moreno Valley","CA","N","Riverside","7"
"954",954,954,954,954,"N","Other","N","Y","Freshman",4.07,"Y","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Walnut","CA","Yes","Los Angeles","8"
"955",955,955,955,955,"F","ASIAN","N","N","Freshman",3.65,"N","N","N",NA,"HS","PSPS","First Time Freshman","Second Year","San Jose","CA","Yes","Santa Clara","3"
"956",956,956,956,956,"F","Other","N","Y","Freshman",3.84,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","San Jose","CA","N","Santa Clara","3"
"957",957,957,957,957,"M","ASIAN","N","N","Freshman",3.88,"N","Y","N","Troy High School",NA,"BCH","First Time Freshman","Other","Fullerton","CA","N","Orange","9"
"958",958,958,958,958,"M","WHITE","N","N","Freshman",3.95,"N","Y","N","University Preparatory",NA,"PHYS","First Time Freshman","Other","Victorville","CA","N","San Bernardino","7"
"959",959,959,959,959,"M","ASIAN","N","Y","Freshman",3.8,"N","N","N",NA,"HS","PRBS","First Time Freshman","First Year","Arcadia","CA","N","Los Angeles","8"
"960",960,960,960,960,"M","WHITE","N","Y","Freshman",NA,"N","N","N","Notre Dame High School","HS","HIST","First Time Freshman","First Year","Riverside","CA","Yes","Riverside","7"
"961",961,961,961,961,"F","ASIAN","N","Y","Freshman",4.07,"N","Y","N",NA,NA,"BCH","First Time Freshman","First Year","Eastvale","CA","N","Riverside","7"
"962",962,962,962,962,"F","HISPANIC OR LATINO","N","N","Freshman",3.84,"N","N","N",NA,"HS","HSUN","First Time Freshman","First Year","Corona","CA","N","Riverside","7"
"963",963,963,963,963,"M","ASIAN","N","N","Freshman",3.88,"N","N","N","West High School","EN","MCEN","First Time Freshman","Third Year","Torrance","CA","Yes","Los Angeles","8"
"964",964,964,964,964,"M","HISPANIC OR LATINO","N","Y","Freshman",4.22,"N","N","N",NA,"HS","PSYC","First Time Freshman","Third Year","Riverside","CA","Yes","Riverside","7"
"965",965,965,965,965,"F","ASIAN","N","N","Freshman",4,"N","N","N","Santa Fe Christian School","BU","BSAD","First Time Freshman","Third Year","Encinitas","CA","N","San Diego","10"
"966",966,966,966,966,"F","MULTI-RACIAL","N","N","Freshman",3.94,"N","Y","N","Apple Valley High School","HS","PSYC","First Time Freshman","Other","Apple Valley","CA","Yes","San Bernardino","7"
"967",967,967,967,967,"M","ASIAN","N","N","Freshman",4.13,"N","N","N","Temecula Valley High School",NA,"ENSC","First Time Freshman","Second Year","Temecula","CA","N","Riverside","7"
"968",968,968,968,968,"F","WHITE","N","Y","Freshman",3.86,"N","N","N",NA,NA,"CHEM","First Time Freshman","First Year","Simi Valley","CA","N","Ventura","5"
"969",969,969,969,969,"F","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N",NA,"HS","ENGL","First Time Transfer","Incoming Transfer","Corona","CA","N","Riverside","7"
"970",970,970,970,970,"F","WHITE","N","N","Transfer",NA,"N","N","N","Riverside City College","HS","ENGL","First Time Transfer","Other","Riverside","CA","Yes","Riverside","7"
"971",971,971,971,971,"M","BLACK OR AFRICAN AMERICAN","Y","Y","Transfer",NA,"N","N","N",NA,"HS","SOC","First Time Transfer","Incoming Transfer","Moreno Valley","CA","Yes","Riverside","7"
"972",972,972,972,972,"F","NON-RESIDENT ALIEN","Y","Y","Freshman",3.63,"N","N","N",NA,"HS","PSYC","First Time Freshman","Second Year","Rowland Heights","CA","N","Other","Other"
"973",973,973,973,973,"M","ASIAN","N","N","Freshman",4.13,"N","N","N",NA,NA,"ENSC","First Time Freshman","First Year","Bakersfield","CA","N","Kern","6"
"974",974,974,974,974,"M","ASIAN","N","Y","Freshman",4,"Y","N","N",NA,NA,"CMDB","First Time Freshman","First Year","San Gabriel","CA","N","Los Angeles","8"
"975",975,975,975,975,"M","ASIAN","Y","Y","Other",NA,"N","N","N",NA,"Other","PBPY","First Time Transfer","Third Year","Duarte","CA","Yes","Los Angeles","8"
"976",976,976,976,976,"F","ASIAN","N","Y","Freshman",3.9,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Yorba Linda","CA","N","Orange","9"
"977",977,977,977,977,"M","ASIAN","N","N","Freshman",4,"Y","N","N","South Island School","HS","ECON","First Time Freshman","Third Year","Cerritos","CA","Yes","Los Angeles","8"
"978",978,978,978,978,"M","ASIAN","N","N","Freshman",3.37,"N","N","N",NA,"HS","PRBS","First Time Freshman","Second Year","Glendora","CA","Yes","Los Angeles","8"
"979",979,979,979,979,"M","ASIAN","N","Y","Freshman",3.86,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","San Francisco","CA","N","San Francisco","3"
"980",980,980,980,980,"F","WHITE","N","Y","Freshman",3.85,"N","N","N",NA,"HS","TFDP","First Time Freshman","First Year","San Luis Obispo","CA","N","San Luis Obispo","5"
"981",981,981,981,981,"F","WHITE","Y","Y","Transfer",NA,"N","N","N",NA,NA,"BCH","First Time Transfer","Incoming Transfer","Riverside","CA","N","Riverside","7"
"982",982,982,982,982,"F","ASIAN","N","N","Freshman",3.5,"N","N","N","Mark Keppel High School","HS","PSYC","First Time Freshman","Third Year","Monterey Park","CA","N","Los Angeles","8"
"983",983,983,983,983,"F","ASIAN","N","Y","Freshman",3.95,"N","Y","N",NA,NA,"BIOL","First Time Freshman","First Year","San Jose","CA","N","Santa Clara","3"
"984",984,984,984,984,"F","NON-RESIDENT ALIEN","N","N","Freshman",3.54,"N","N","N","China Peoples Repub",NA,"BIOL","First Time Freshman","Third Year","Dongguan","Out-Of-State","N","Other","Other"
"985",985,985,985,985,"F","ASIAN","Y","N","Freshman",3.88,"N","N","N",NA,NA,"BCH","First Time Freshman","First Year","Rosemead","CA","N","Los Angeles","8"
"986",986,986,986,986,"F","ASIAN","N","N","Freshman",3.66,"N","N","N","Mesquite High School","HS","PRBS","First Time Freshman","Second Year","Gilbert","Out-Of-State","Yes","Other","Other"
"987",987,987,987,987,"F","ASIAN","N","N","Freshman",3.8,"N","N","N","Northwood High School","BU","BSAD","First Time Freshman","Third Year","Irvine","CA","N","Orange","9"
"988",988,988,988,988,"F","NON-RESIDENT ALIEN","N","N","Transfer",NA,"N","N","N",NA,"HS","PSIA","First Time Transfer","Incoming Transfer","Shenzhen","Out-Of-State","N","Other","Other"
"989",989,989,989,989,"M","NON-RESIDENT ALIEN","N","N","Freshman",4,"Y","N","N","China Peoples Repub","EN","MCEN","First Time Freshman","Other","Harbin","Out-Of-State","N","Other","Other"
"990",990,990,990,990,"M","ASIAN","N","Y","Transfer",NA,"N","N","N",NA,"HS","BSEC","First Time Transfer","Incoming Transfer","Brea","CA","N","Orange","9"
"991",991,991,991,991,"F","MULTI-RACIAL","N","N","Freshman",3.29,"N","N","N","Amador Valley High School","HS","TFDP","First Time Freshman","Third Year","Pleasanton","CA","Yes","Alameda","3"
"992",992,992,992,992,"F","HISPANIC OR LATINO","Y","Y","Freshman",4.31,"N","Y","N","Cathedral City High School",NA,"PHYS","First Time Freshman","Third Year","Cathedral City","CA","Yes","Riverside","7"
"993",993,993,993,993,"M","ASIAN","N","N","Freshman",3.25,"N","N","N",NA,NA,"MATH","First Time Freshman","Second Year","Santa Clara","CA","N","Santa Clara","3"
"994",994,994,994,994,"F","ASIAN","N","Y","Freshman",3.85,"N","N","N",NA,"HS","PRBS","First Time Freshman","First Year","Diamond Bar","CA","N","Los Angeles","8"
"995",995,995,995,995,"M","ASIAN","N","N","Freshman",3.79,"N","N","N","South High School",NA,"MATH","First Time Freshman","Third Year","Torrance","CA","N","Los Angeles","8"
"996",996,996,996,996,"F","ASIAN","Y","N","Freshman",3.3,"N","N","N","Arcadia High School","BU","BSAD","First Time Freshman","Other","Arcadia","CA","Yes","Los Angeles","8"
"997",997,997,997,997,"F","HISPANIC OR LATINO","N","Y","Freshman",4.31,"N","Y","N","Colony High School","HS","NRSC","First Time Freshman","Second Year","Ontario","CA","N","San Bernardino","7"
"998",998,998,998,998,"F","HISPANIC OR LATINO","Y","Y","Other",3.3,"N","N","N",NA,"HS","LLCP","First Time Freshman","Second Year","Ontario","CA","N","San Bernardino","7"
"999",999,999,999,999,"M","ASIAN","N","N","Freshman",3.9,"Y","N","N","Gretchen Whitney High School","EN","MCEN","First Time Freshman","Second Year","Cerritos","CA","N","Los Angeles","8"
"1000",1000,1000,1000,1000,"M","ASIAN","N","N","Freshman",3.43,"N","N","N","Arcadia High School","HS","HSUN","First Time Freshman","Second Year","Arcadia","CA","N","Los Angeles","8"
"1001",1001,1001,1001,1001,"F","WHITE","N","Y","Transfer",NA,"N","N","N",NA,"HS","ANTH","First Time Transfer","Incoming Transfer","Woodland Hills","CA","N","Other","Other"
"1002",1002,1002,1002,1002,"F","NON-RESIDENT ALIEN","N","Y","Transfer",NA,"N","N","N",NA,"HS","PSIA","First Time Transfer","Incoming Transfer","Kishiwada","Out-Of-State","Yes","Other","Other"
"1003",1003,1003,1003,1003,"F","ASIAN","N","N","Freshman",3.7,"N","N","N",NA,"HS","PRBS","First Time Freshman","Second Year","Santa Clara","CA","N","Santa Clara","3"
"1004",1004,1004,1004,1004,"M","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","Beaumont","CA","Yes","Riverside","7"
"1005",1005,1005,1005,1005,"M","ASIAN","N","Y","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","Beaumont","CA","Yes","Riverside","7"
"1006",1006,1006,1006,1006,"F","WHITE","N","Y","Freshman",3.8,"N","N","N",NA,"HS","PSIA","First Time Freshman","First Year","Loma Linda","CA","N","San Bernardino","7"
"1007",1007,1007,1007,1007,"M","ASIAN","N","N","Freshman",3.76,"Y","N","N","Canyon Crest Academy",NA,"NURO","First Time Freshman","Third Year","Rancho Santa Fe","CA","N","Other","Other"
"1008",1008,1008,1008,1008,"M","HISPANIC OR LATINO","N","Y","Freshman",NA,"N","N","N",NA,"HS","PSYC","First Time Freshman","First Year","Corona","CA","N","Riverside","7"
"1009",1009,1009,1009,1009,"F","HISPANIC OR LATINO","Y","N","Freshman",3.8,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Cathedral City","CA","N","Riverside","7"
"1010",1010,1010,1010,1010,"F","HISPANIC OR LATINO","N","Y","Freshman",3.81,"N","N","N","West Covina High School","EN","BIEN","First Time Freshman","Other","West Covina","CA","N","Los Angeles","8"
"1011",1011,1011,1011,1011,"F","HISPANIC OR LATINO","Y","N","Freshman",3.95,"N","N","N",NA,"HS","LBST","First Time Freshman","First Year","San Bernardino","CA","Yes","San Bernardino","7"
"1012",1012,1012,1012,1012,"F","ASIAN","N","Y","Freshman",3.3,"N","N","N","Diamond Bar High School","HS","ENGL","First Time Freshman","Other","Chino Hills","CA","N","San Bernardino","7"
"1013",1013,1013,1013,1013,"F","NON-RESIDENT ALIEN","N","Y","Freshman",3.5,"N","N","N","Western Christian High School","HS","PRBS","First Time Freshman","Second Year","Shanghai","Out-Of-State","N","Other","Other"
"1014",1014,1014,1014,1014,"F","HISPANIC OR LATINO","N","N","Freshman",NA,"N","N","N",NA,"HS","SPN","First Time Freshman","Third Year","Temecula","CA","N","Riverside","7"
"1015",1015,1015,1015,1015,"M","WHITE","N","N","Transfer",NA,"N","N","N","Porterville College","HS","TFDP","First Time Transfer","Other","Porterville","CA","N","Tulare","6"
