"","X.2","X.1","X","Student","Gender","IPEDS.Ethnicity","Low.Income","First.Generation","Admit.Type","Evaluated.High.School.GPA","Highlander.Scholarship","Chancellor.s.Scholarship","Regents..Scholarship","Previous.School","College","Major","UCR.Entry.Action","Admitted.Honors.Cohort","Permanent.City","Permanent.State","Capstone.Project.Completion","County","Region"
"700",700,700,700,700,"M","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N","San Bernardino Valley College","HS","PSYC","First Time Transfer","Other","San Bernardino","CA","Yes","San Bernardino","7"
"701",701,701,701,701,"M","WHITE","Y","Y","Transfer",NA,"N","N","N",NA,NA,"BCH","First Time Transfer","Incoming Transfer","hemet","CA","Yes","Other","Other"
"702",702,702,702,702,"M","WHITE","N","N","Freshman",3.7,"N","N","N","Upland High School","BU","BSAD","First Time Freshman","Third Year","Upland","CA","N","San Bernardino","7"
"703",703,703,703,703,"M","ASIAN","Y","Y","Freshman",3.95,"N","N","N",NA,NA,"BCH","First Time Freshman","First Year","Garden Grove","CA","Yes","Orange","9"
"704",704,704,704,704,"F","ASIAN","N","N","Freshman",3.95,"N","N","N",NA,"HS","PRBS","First Time Freshman","First Year","Westminster","CA","N","Orange","9"
"705",705,705,705,705,"M","ASIAN","N","N","Freshman",3.81,"Y","N","N","Simi Valley High School","HS","PSYC","First Time Freshman","Third Year","Simi Valley","CA","Yes","Ventura","5"
"706",706,706,706,706,"F","ASIAN","Y","N","Freshman",4.04,"Y","N","N","Huntington Beach High School","HS","PBPL","First Time Freshman","Third Year","Huntington Beach","CA","N","Orange","9"
"707",707,707,707,707,"F","ASIAN","N","N","Transfer",NA,"N","N","N",NA,"BU","BSAD","First Time Transfer","Incoming Transfer","Fremont","CA","Yes","Alameda","3"
"708",708,708,708,708,"F","ASIAN","N","N","Freshman",3.54,"N","N","N","Trabuco Hills High School",NA,"BCH","First Time Freshman","Second Year","Portola Hills","CA","N","Other","Other"
"709",709,709,709,709,"F","HISPANIC OR LATINO","N","N","Freshman",3.92,"N","N","N",NA,"HS","PSYC","First Time Freshman","First Year","Moreno Valley","CA","Yes","Riverside","7"
"710",710,710,710,710,"F","HISPANIC OR LATINO","Y","N","Transfer",NA,"N","N","N",NA,"HS","BSPR","First Time Transfer","Incoming Transfer","San Jacinto","CA","N","Riverside","7"
"711",711,711,711,711,"F","WHITE","N","N","Freshman",NA,"N","N","N",NA,"EN","ENCS","First Time Freshman","First Year","Riverside","CA","Yes","Riverside","7"
"712",712,712,712,712,"F","WHITE","N","Y","Freshman",3.92,"N","N","N",NA,NA,"MATH","First Time Freshman","First Year","San Diego","CA","N","San Diego","10"
"713",713,713,713,713,"M","ASIAN","Y","N","Transfer",NA,"N","N","N",NA,"HS","CRWT","First Time Transfer","Incoming Transfer","Highland","CA","N","San Bernardino","7"
"714",714,714,714,714,"M","HISPANIC OR LATINO","N","N","Freshman",3.9,"N","N","N",NA,"HS","PSYC","First Time Freshman","First Year","Pomona","CA","N","Los Angeles","8"
"715",715,715,715,715,"F","MULTI-RACIAL","N","Y","Other",3.8,"N","N","N",NA,NA,"BCH","First Time Freshman","First Year","Beaumont","CA","N","Riverside","7"
"716",716,716,716,716,"F","BLACK OR AFRICAN AMERICAN","N","N","Freshman",NA,"N","N","N",NA,"HS","PSYC","First Time Freshman","First Year","Fontana","CA","Yes","San Bernardino","7"
"717",717,717,717,717,"M","ASIAN","N","N","Freshman",3.9,"N","N","N","Centennial High School","HS","ECON","First Time Freshman","Other","La Mirada","CA","Yes","Los Angeles","8"
"718",718,718,718,718,"M","WHITE","N","N","Freshman",4.22,"N","Y","N","Citrus Hill High School","HS","CRWT","First Time Freshman","Other","Perris","CA","Yes","Riverside","7"
"719",719,719,719,719,"F","Other","Y","N","Freshman",4,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Menifee","CA","N","Riverside","7"
"720",720,720,720,720,"M","ASIAN","Y","N","Freshman",4,"N","N","N","Froebels International School",NA,"BCH","First Time Freshman","Third Year","Riverside","CA","Yes","Riverside","7"
"721",721,721,721,721,"F","ASIAN","Y","N","Freshman",3.58,"N","N","N","Froebels International School","EN","CEN","First Time Freshman","Third Year","Riverside","CA","Yes","Riverside","7"
"722",722,722,722,722,"F","ASIAN","N","N","Freshman",3.88,"Y","N","N","John W North High School","EN","ENCS","First Time Freshman","Third Year","Riverside","CA","Yes","Riverside","7"
"723",723,723,723,723,"F","ASIAN","N","Y","Freshman",3.52,"N","N","N","George Washington High School","HS","PRBS","First Time Freshman","Second Year","San Francisco","CA","N","San Francisco","3"
"724",724,724,724,724,"F","ASIAN","Y","N","Freshman",3.83,"Y","N","N",NA,"HS","PRBS","First Time Freshman","First Year","San Francisco","CA","N","San Francisco","3"
"725",725,725,725,725,"M","MULTI-RACIAL","Y","N","Transfer",NA,"N","N","N",NA,"BU","BSAD","First Time Transfer","Incoming Transfer","Moreno Valley","CA","Yes","Riverside","7"
"726",726,726,726,726,"M","HISPANIC OR LATINO","N","N","Freshman",3.45,"N","N","N",NA,"BU","BSAD","First Time Freshman","Third Year","North Hollywood","CA","N","Other","Other"
"727",727,727,727,727,"F","HISPANIC OR LATINO","N","N","Freshman",4.13,"N","N","N","Martin Luther King High School","EN","MCEN","First Time Freshman","Second Year","Riverside","CA","N","Riverside","7"
"728",728,728,728,728,"F","MULTI-RACIAL","N","N","Freshman",3.95,"N","Y","N","Arcadia High School",NA,"NURO","First Time Freshman","Other","Arcadia","CA","Yes","Los Angeles","8"
"729",729,729,729,729,"M","WHITE","N","N","Freshman",3.83,"Y","N","N","Sage Hill School",NA,"NURO","First Time Freshman","Second Year","Newport Coast","CA","Yes","Other","Other"
"730",730,730,730,730,"F","WHITE","N","N","Freshman",3.95,"N","N","N","Glendora High School",NA,"BIOL","First Time Freshman","Third Year","Glendora","CA","Yes","Los Angeles","8"
"731",731,731,731,731,"M","WHITE","Y","N","Other",4.28,"N","N","N",NA,"HS","TFDP","First Time Freshman","First Year","Stuart","Out-Of-State","N","Other","Other"
"732",732,732,732,732,"M","ASIAN","N","N","Freshman",3.77,"N","N","N","West High School",NA,"BIOL","First Time Freshman","Second Year","Torrance","CA","Yes","Los Angeles","8"
"733",733,733,733,733,"F","WHITE","Y","N","Freshman",4.21,"N","Y","N","Centennial High School",NA,"NURO","First Time Freshman","Other","Corona","CA","Yes","Riverside","7"
"734",734,734,734,734,"M","ASIAN","N","N","Freshman",3.79,"Y","N","N","Redlands High School","EN","BIEN","First Time Freshman","Other","Colton","CA","Yes","San Bernardino","7"
"735",735,735,735,735,"M","ASIAN","N","N","Freshman",3.7,"N","N","N",NA,NA,"BCH","First Time Freshman","Third Year","Highland","CA","Yes","San Bernardino","7"
"736",736,736,736,736,"M","ASIAN","N","Y","Freshman",3.96,"N","Y","N",NA,NA,"MCBL","First Time Freshman","First Year","Sacramento","CA","Yes","Sacramento","1"
"737",737,737,737,737,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.9,"N","N","N","Don Antonio Lugo High School","HS","LING","First Time Freshman","Second Year","Chino","CA","N","San Bernardino","7"
"738",738,738,738,738,"M","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N","Imperial Valley College","BU","BSAD","First Time Transfer","Incoming Transfer","Imperial","CA","Yes","Imperial","10"
"739",739,739,739,739,"F","HISPANIC OR LATINO","Y","N","Freshman",3.9,"N","N","N",NA,"HS","MCS","First Time Freshman","First Year","Oceanside","CA","N","San Diego","10"
"740",740,740,740,740,"M","ASIAN","N","N","Freshman",3.71,"N","N","N","Aliso Niguel High School",NA,"BCH","First Time Freshman","Second Year","Aliso Viejo","CA","N","Orange","9"
"741",741,741,741,741,"F","HISPANIC OR LATINO","N","Y","Freshman",4,"Y","N","N","John W North High School",NA,"MATH","First Time Freshman","Other","Riverside","CA","Yes","Riverside","7"
"742",742,742,742,742,"F","ASIAN","N","N","Freshman",3.84,"N","N","N","Sunny Hills High School",NA,"BIOL","First Time Freshman","Third Year","Fullerton","CA","Yes","Orange","9"
